#,City,Gnomon (cm),Shadow (cm),Normalized Shadow (cm),Latitude,Longitude,Distance (km),Distance (Â°),Angle 1,Angle 2,FE Sun Distance,GE Earth Circumference,GE Sun Distance (BD),Parallax,GE Sun Distance (FE101)
1,"Victoria, Australia",30,38,"253,33333333333300000","-37,73596333330000000","144,96681000000000000","5546,249758","49,82284991","51,70983681","38,29016319","4408,61823","38612,57424","151860,4415","1,8869869","131831,8883"
2,Argamakmur,281,34,"24,19928825622780000","-3,43858705000000000","102,20030321000000000","874,8318112","7,85875428","6,899048189","83,10095181","7511,227616","45649,69593","-45690,81153","-0,9597060917","-53849,30884"
3,Denpasar,173,"29,4","33,98843930635840000","-8,66344333330000000","115,24587500000000000","1150,798724","10,33780926","9,644826416","80,35517358","6944,706779","42954,38019","-88254,55574","-0,692982845","95693,27339"
4,Balikpapan,230,34,"29,56521739130430000","-1,23138031000000000","116,84639780000000000","842,3770581","7,567208035","8,408911733","81,59108827","5928,43304","36063,61329","63422,53362","0,841703698","-5349,542781"
5,Bandung,116,15,"25,86206896551720000","-6,91874419360000000","107,65216375600000000","776,6049226","6,976366407","7,368051072","82,63194893","6121,744735","37944,60291","119516,9192","0,3916846644","94630,76986"
6,Bogor,130,16,"24,61538461538460000","-6,67263420000000000","106,84928530000000000","777,2376475","6,982050276","7,016501745","82,98349826","6445,055886","39878,21329","1294298,613","0,03445146877","1276735,468"
7,Depok,"232,5",21,"18,06451612903230000","-6,44086280000000000","106,88661544000000000","751,7186566","6,752809093","5,161098033","84,83890197","8555,099412","52434,32979","-20632,59568","-1,59171106","488,3328136"
8,Garut,200,"19,5","19,50000000000000000","-7,18786000000000000","107,88586333330000000","800,0063945","7,186585578","5,568737078","84,43126292","8405,19379","51717,70511","-21897,78613","-1,6178485","-11076,69217"
9,Gorontalo,"100,02",27,"53,98920215956810000","0,55591833330000000","123,06325500000000000","1526,94684","13,71680803","15,10669191","74,89330809","5756,509738","36387,90448","68453,79097","1,389883883","-31364,21374"
10,Grobogan,255,"33,7","26,43137254901960000","-7,09078868230000000","111,09618016510000000","796,5290653","7,155348172","7,528403801","82,4715962","6282,148714","38089,14494","128200,4639","0,3730556289","91002,1596"
11,Kalimantan Selatan,"81,5",10,"24,53987730061350000","-3,42999000000000000","114,80696000000000000","708,1791392","6,361686635","6,995192297","83,0048077","5853,159984","36445,67287","70175,60402","0,6335056623","63203,69425"
12,"Kuantan, Malaysia",100,7,"14,00000000000000000","3,89217816000000000","103,33718800000000000","804,6459758","7,228263679","4,004172941","85,99582706","11594,94251","72342,6674","-7910,224622","-3,224090738","13410,2898"
13,Kudus,150,11,"14,66666666666670000","-6,80170000000000000","110,83100000000000000","758,4842435","6,813585445","4,194182788","85,80581721","10492,96696","65103,10624","-10195,67665","-2,619402656","14104,91891"
14,Magelang,100,15,"30,00000000000000000","-7,47363469000000000","110,32460032000000000","822,3124019","7,386964015","8,53076561","81,46923439","5582,082679","34701,74639","47344,3313","1,143801595","-8818,518522"
15,"Sandakan, Malaysia","107,95","22,86","42,35294117647060000","5,83944000000000000","118,12106606000000000","1179,293942","10,59378637","11,95658424","78,04341576","5676,838059","35507,28289","55496,74759","1,362797878","24430,13339"
16,Palembang,126,"15,2","24,12698412698410000","-3,01392000000000000","104,79434666670000000","598,4513304","5,375984154","6,878632577","83,12136742","5086,846555","31320,53887","29097,68002","1,502648422","23270,52041"
17,Jayapura,202,131,"129,70297029703000000","-2,58070166670000000","140,56832666670000000","3480,768039","31,2682968","32,9640078","57,0359922","5569,291175","38013,47523","117146,7319","1,695711002","64376,73481"
18,Pekanbaru,"156,4","21,5","27,49360613810740000","0,52677666670000000","101,47827166670000000","878,3022475","7,889929766","7,827278784","82,17272122","6545,53821","40395,75156","-793485,3554","-0,06265098159","-390152,1768"
19,Probolinggo,"151,6","21,5","28,36411609498680000","-7,71398900000000000","113,49302500000000000","959,0777517","8,615549057","8,07189109","81,92810891","6914,213356","42774,11412","-94281,41648","-0,5436579671","-25324,36141"
20,Probolinggo,253,"36,8","29,09090909090910000","-7,71398903000000000","113,49302477000000000","959,0777424","8,615548974","8,275892827","81,72410717","6846,659479","41719,72674","-154694,3087","-0,3396561465","-7142,856416"
21,Pugur Lampung,"82,7",28,"67,71463119709790000","-5,06288900000000000","105,27736100000000000","709,7306006","6,375623661","18,70472051","71,29527949","2178,940024","13659,8147","9568,471289","12,32909685","2880,861765"
22,Purbalingga,118,"14,02","23,76271186440680000","-7,29338675000000000","109,46565598000000000","795,2258487","7,143641169","6,775750981","83,22424902","6811,056358","42250,85992","-117067,6942","-0,3678901875","-126441,3278"
23,Serang,109,7,"12,84403669724770000","-6,12220400000000000","106,15057791000000000","753,6897075","6,770515359","3,674499521","86,32550048","11845,02545","73840,8845","-7559,903442","-3,096015838","14145,83148"
24,Sorong,117,52,"88,88888888888890000","-0,88447000000000000","131,28654000000000000","2440,654321","21,92478868","23,96248897","66,03751103","5608,472223","36667,12404","72770,54202","2,037700293","-4214,060506"
25,Sukabumi,"101,5",11,"21,67487684729060000","-6,91945406000000000","106,92632874000000000","800,0096067","7,186614433","6,185254916","83,81474508","7483,406825","46562,90845","-39278,36711","-1,001359517","-39365,96737"
26,Surabaya 1,250,38,"30,40000000000000000","-7,27883000000000000","112,75072000000000000","878,6123763","7,892715702","8,64280258","81,35719742","6030,344581","36596,97795","73133,2328","0,7500868782","-22356,29884"
27,Surabaya 2,143,"24,5","34,26573426573430000","-7,31974991940000000","112,77823647800000000","884,0271271","7,941357276","9,722018014","80,27798199","5302,831803","32734,9492","34623,16295","1,780660738","-28917,3131"
28,Bima,56,14,"50,00000000000000000","-8,40850000000000000","118,69970000000000000","1384,91967","12,44095521","14,03624347","75,96375653","5595,67868","35520,26454","55503,80086","1,595288253","27476,94168"
29,Jember,244,41,"33,60655737704920000","-8,16892166670000000","113,70158500000000000","1014,47905","9,113227792","9,538462734","80,46153727","6281,387516","38288,39805","142250,2753","0,4252349425","-134415,6489"
30,Makassar,150,43,"57,33333333333330000","-5,07443000000000000","119,49530000000000000","1253,092182","11,25672777","15,99583231","74,00416769","4521,251796","28201,92013","21249,91278","4,739104542","-15496,49623"
31,Bekasi,"170,5",25,"29,32551319648090000","-6,24209441000000000","106,99999679000000000","726,5775133","6,526962176","8,341698444","81,65830156","5125,758641","31356,67233","29186,75751","1,814736268","-508,5102151"
32,Ambon,62,24,"77,41935483870970000","-3,61105392680000000","128,19552956590000000","2129,430953","19,12901932","21,16125982","68,83874018","5563,029962","36226,34709","64855,42483","2,0322405","-16811,30324"
33,Tasikmalaya,100,13,"26,00000000000000000","-7,36198862000000000","108,11321055000000000","814,3537709","7,315470357","7,406912128","82,59308787","6364,259776","39580,23971","514623,9829","0,09144177102","411621,6258"
34,Semarang,105,19,"36,19047619047620000","-7,01451405620000000","110,43567142350000000","773,5627684","6,949038249","10,25681984","79,74318016","4379,952141","27150,96891","19660,86839","3,307781593","-12819,67875"
35,Medan,150,"28,5","38,00000000000000000","-3,58406696000000000","98,67833333000000000","1245,90269","11,19214341","10,75796709","79,24203291","6707,382577","41692,35363","-156935,4364","-0,4341763254","110002,5608"
